,Source,Month,Brand,Model,ENERGY LABEL EU,NOFROST SYSTEM,NET LTRS.,Quantity,PriceUSD,Elasticity,cluster_kmean_nd_9,cluster_kmean_t_sne,cluster_ier_centr_cos_7,cluster_ier_t_sne
691,Traditional Sales,2018-01-01,ATLANT,XM-4424-189 ND,3,1,310,2.1444444444444444,465.7696428093334,-0.001589489814100684,3,8,3,8
693,Traditional Sales,2018-01-01,SAMSUNG,RS55K50A02A/UA,3,1,536,2.5555555555555554,1469.0909994176666,0.00022748935674622066,8,6,2,4
698,Traditional Sales,2018-01-01,CANDY,CCBS 6182 W/1,3,0,305,8.306010101,279.00615625591666,0.01252543255678891,4,4,7,1
699,Traditional Sales,2018-01-01,BOSCH,KGN36NL30U,4,1,302,2.2222222222222223,434.56290380233327,0.010795841319034565,2,8,4,8
705,Traditional Sales,2018-01-01,ATLANT,XM 4425-109 ND,3,1,310,5.608333333333333,463.3448936541667,0.09536913033916404,3,8,3,8
706,Traditional Sales,2018-01-01,GORENJE,NRK6201CW,3,1,339,19.5177025335,458.70517424825,0.22782873078588553,3,8,3,8
709,Traditional Sales,2018-01-01,LIEBHERR,CU 3515,4,0,310,1.7777777777777777,451.5436771903333,-0.01094753700870076,4,8,5,8
710,Traditional Sales,2018-01-01,BOSCH,KGN39AI35,4,1,366,4.311111111111111,896.5148472233333,0.031198860033816653,2,6,4,4
712,Traditional Sales,2018-01-01,LIEBHERR,CNEF 4815,5,1,361,3.033333333333333,1169.5940625442224,-0.009294953633131632,2,6,4,4
714,Traditional Sales,2018-01-01,HAIER,HRF-521DM6,3,1,521,2.8,781.9846888671001,0.011951188027823861,8,6,2,4
718,Traditional Sales,2018-01-01,SNAIGE,RF31SM-S1CI21,3,0,279,2.4333333333,326.91792523879997,0.013591305775120369,4,3,7,10
722,Traditional Sales,2018-01-01,ZANUSSI,ZRX51100WA,3,0,42,9.108333333333333,141.85234926533334,0.4801630596649117,9,2,7,2
724,Traditional Sales,2018-01-01,NORD,NRT 141 030,3,0,260,6.969696969727273,203.4636365741818,0.007910672373086097,4,4,7,1
726,Traditional Sales,2018-01-01,SAMSUNG,RB37J5345SL,4,1,367,1.3333333333333333,668.0401081391111,-0.005348121041611156,2,1,4,6
728,Traditional Sales,2018-01-01,BOSCH,KIS86AF30,4,0,265,2.9818181818181815,1283.0756071761818,0.004810447341286009,2,6,5,4
729,Traditional Sales,2018-01-01,BOSCH,KGN39VI35,4,1,366,9.075000000000001,632.799172515,-0.04801115854294803,2,1,4,6
730,Traditional Sales,2018-01-01,ELECTROLUX,EJ2801AOW2,3,0,259,6.3666571948333335,274.5229449790833,0.11238347714988947,4,4,7,1
731,Traditional Sales,2018-01-01,ZANUSSI,ZUA14020SA,3,0,130,5.61043229525,344.0530572403333,-0.1204910165900446,9,4,7,3
732,Traditional Sales,2018-01-01,GORENJE,R6192LX,4,0,368,1.753668763111111,648.1262249577778,-0.0026242363964347135,4,1,5,6
735,Traditional Sales,2018-01-01,ELECTROLUX,ERT1601AOW3,3,0,150,9.007547169818181,224.0904765983636,0.18776581236177886,9,2,7,3
736,Traditional Sales,2018-01-01,ELECTROLUX,ERT 1501 FOW3,3,0,133,3.6610761705555555,240.90657526066667,0.03004977123708151,9,2,7,3
740,Traditional Sales,2018-01-01,GORENJE,RI2181A1,3,0,301,9.502264572416665,583.5232426616666,0.03696505144319002,4,5,7,7
742,Traditional Sales,2018-01-01,HOTPOINT-ARIS,LH8FF2OCH,4,1,305,4.7975127537999995,444.0176841883,0.11404004546474061,2,8,4,8
