,UAH/USD
2018-12-15,27.867006
2018-12-16,27.867006
2018-12-17,27.837123000000002
2018-12-18,27.886082000000002
2018-12-19,27.847943
2018-12-20,27.717006
2018-12-21,27.576873999999997
2018-12-22,27.433934
2018-12-23,27.433934
2018-12-24,27.433934
2018-12-25,27.433934
2018-12-26,27.433934
2018-12-27,27.267788
2018-12-28,27.454978999999998
2018-12-29,27.688264
2018-12-30,27.688264
2018-12-31,27.688264
2019-01-01,27.688264
2019-01-02,27.688264
2019-01-03,27.688264
2019-01-04,27.511682
2019-01-05,27.511682
2019-01-06,27.511682
2019-01-07,27.511682
2019-01-08,27.709400000000002
2019-01-09,28.023739
2019-01-10,28.122132999999998
2019-01-11,28.270148
2019-01-12,28.270148
2019-01-13,28.270148
2019-01-14,28.153842
2019-01-15,28.023674
2019-01-16,28.166808999999997
2019-01-17,28.008502
2019-01-18,28.033609000000002
2019-01-19,28.033609000000002
2019-01-20,28.033609000000002
2019-01-21,27.980832
2019-01-22,27.948597
2019-01-23,27.895837999999998
2019-01-24,27.703712999999997
2019-01-25,27.786527999999997
2019-01-26,27.786527999999997
2019-01-27,27.786527999999997
2019-01-28,27.817285000000002
2019-01-29,27.790097
2019-01-30,27.772064
2019-01-31,27.755525
2019-02-01,27.74096
2019-02-02,27.74096
2019-02-03,27.74096
2019-02-04,27.570704
2019-02-05,27.423692000000003
2019-02-06,27.215854
2019-02-07,26.964088
2019-02-08,26.95935
2019-02-09,26.95935
2019-02-10,26.95935
2019-02-11,26.899993
2019-02-12,27.057716
2019-02-13,27.007494
2019-02-14,27.092791000000002
2019-02-15,27.159961
2019-02-16,27.159961
2019-02-17,27.159961
2019-02-18,27.247894000000002
2019-02-19,27.185913999999997
2019-02-20,27.173251
2019-02-21,27.087563
2019-02-22,27.00263
2019-02-23,27.00263
2019-02-24,27.00263
2019-02-25,27.017312
2019-02-26,26.990655999999998
2019-02-27,26.982628
2019-02-28,26.992764
2019-03-01,26.859164999999997
